date,latitude,longitude,number,expver,u10,d2m,v10,tcc,stl3,tp,ssrd,strd,t2m,e,ssr,str,sp,sf,swvl3
20060101,3.94,11.79,0,0001,1.4142599,293.36304,0.580663,0.7530322,297.14185,0.0012576515,18293618.0,34726224.0,298.04614,-0.002530867,15710288.0,-3847490.0,93372.25,0.0,0.30949485
20060201,3.94,11.79,0,0001,1.8341131,293.56274,0.8167493,0.81231016,297.76294,0.0021165647,18373682.0,35133610.0,298.40698,-0.0023942895,15717895.0,-3602003.0,93383.125,0.0,0.27887946
20060301,3.94,11.79,0,0001,1.6909142,293.57593,0.8312738,0.8502687,297.58447,0.002666471,19154368.0,34935304.0,297.91406,-0.0028134019,16230543.0,-3589405.0,93452.19,0.0,0.25841856
20060401,3.94,11.79,0,0001,0.9615742,294.37427,0.74037725,0.8730929,297.3606,0.006853588,18015404.0,35063736.0,297.2129,-0.0034995168,15110788.0,-3105045.0,93395.69,0.0,0.29070044
20060501,3.94,11.79,0,0001,1.1389933,293.95557,0.4995398,0.8546812,296.83765,0.0046974346,16571286.0,34938830.0,296.6018,-0.0032936311,13765261.0,-2852947.0,93613.625,0.0,0.3323018
20060601,3.94,11.79,0,0001,1.1325083,293.72876,0.37216443,0.7677949,296.6006,0.005246401,16808292.0,34732290.0,296.47363,-0.003008516,13861693.0,-3006514.0,93672.625,0.0,0.37100905
20060701,3.94,11.79,0,0001,1.959075,293.30347,0.30745262,0.89864844,296.17822,0.0044759586,13755976.0,35135668.0,295.87964,-0.0024638497,11295652.0,-2313800.0,93751.375,0.0,0.38821965
20060801,3.94,11.79,0,0001,2.2472801,292.7041,0.31980968,0.9027669,296.04858,0.0029348745,15448365.0,35060576.0,295.99414,-0.0023416793,12751884.0,-2524203.0,93686.06,0.0,0.38439018
20060901,3.94,11.79,0,0001,1.9000559,293.136,0.3859244,0.88843805,295.97046,0.0053415336,15715656.0,35048884.0,295.9265,-0.002897318,13128794.0,-2398227.0,93697.19,0.0,0.39269465
20061001,3.94,11.79,0,0001,0.9175039,294.03247,0.08549613,0.86543596,296.14624,0.0063025765,16073185.0,35011984.0,296.40796,-0.003260417,13666639.0,-2676356.0,93570.75,0.0,0.4063716
20061101,3.94,11.79,0,0001,0.7124162,293.78613,0.19399035,0.8317115,296.08813,0.0043751895,15917621.0,34499536.0,296.3181,-0.003255502,13652140.0,-3121603.0,93510.0,0.0,0.40500295
20061201,3.94,11.79,0,0001,1.1692781,292.4834,0.07647556,0.64385873,296.50513,0.00058968225,18316760.0,33935390.0,297.06323,-0.0028160324,15750429.0,-4182306.0,93581.625,0.0,0.33322817
